Date,Price,Open,High,Low,Vol.,Change %
2-Aug-19,97.852,98.19,98.225,97.815,18.15K,-0.30%
1-Aug-19,98.144,98.365,98.7,98.04,26.68K,-0.12%
31-Jul-19,98.258,97.805,98.445,97.755,27.89K,0.46%
30-Jul-19,97.809,97.84,97.96,97.765,9.35K,0.01%
29-Jul-19,97.796,97.72,97.905,97.64,9.31K,0.05%
26-Jul-19,97.751,97.535,97.835,97.505,11.84K,0.20%
25-Jul-19,97.552,97.415,97.65,97.22,24.77K,0.10%
24-Jul-19,97.452,97.435,97.57,97.26,14.32K,0.03%
23-Jul-19,97.418,97.005,97.46,96.985,22.83K,0.49%
22-Jul-19,96.94,96.785,96.985,96.785,6.90K,0.13%
19-Jul-19,96.817,96.465,96.975,96.415,21.82K,0.38%
18-Jul-19,96.449,96.855,96.93,96.32,22.35K,-0.42%
17-Jul-19,96.853,97.03,97.1,96.8,13.96K,-0.19%
16-Jul-19,97.041,96.57,97.08,96.54,21.86K,0.51%
15-Jul-19,96.545,96.45,96.595,96.375,8.59K,0.13%
12-Jul-19,96.424,96.735,96.735,96.405,10.29K,-0.25%
11-Jul-19,96.666,96.675,96.775,96.415,15.62K,-0.04%
10-Jul-19,96.703,97.155,97.165,96.64,17.93K,-0.40%
9-Jul-19,97.095,96.98,97.195,96.97,9.71K,0.11%
8-Jul-19,96.984,96.84,97.02,96.765,10.67K,0.10%
5-Jul-19,96.89,96.315,97.04,96.315,24.52K,0.58%
4-Jul-19,96.331,96.29,96.39,96.235,3.03K,0.00%
3-Jul-19,96.331,96.27,96.435,96.12,9.44K,0.06%
2-Jul-19,96.274,96.37,96.455,96.15,12.48K,-0.14%
1-Jul-19,96.409,95.775,96.425,95.775,21.29K,0.78%
28-Jun-19,95.666,95.74,95.845,95.56,14.56K,-0.08%
27-Jun-19,95.742,95.705,95.92,95.67,10.59K,0.01%
26-Jun-19,95.728,95.68,95.85,95.565,13.27K,0.08%
25-Jun-19,95.648,95.5,95.875,95.365,24.24K,0.17%
24-Jun-19,95.487,95.67,95.715,95.465,22.61K,-0.24%
21-Jun-19,95.718,96.14,96.235,95.645,30.65K,-0.44%
